,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000179388.8,6489,-1.62690057571183,5.83475981538289e-12,-2.09012535681363,-1.16367579461003,93.189324676457,1.10983263709646,EGR3
ENSG00000151623.13,21055,-1.93967649182341,8.76398787752138e-12,-2.49666346226996,-1.38268952137686,99.2839938387355,1.79918496466432,NR3C2
ENSG00000174306.20,5626,-0.686709020720506,1.04447723171864e-11,-0.884632283722461,-0.488785757718552,95.8909497913572,0.204142692661078,ZHX3
ENSG00000155090.13,29189,-0.757698712161824,1.54867479762783e-11,-0.977927698529557,-0.537469725794091,92.9337009380064,0.234249201743369,KLF10
ENSG00000198597.7,27602,-2.7113294239043,1.56103849690816e-11,-3.49952611221605,-1.92313273559255,97.472814533953,3.45201001669852,ZNF536
ENSG00000269067.1,21075,-3.82428541625665,2.40153600733316e-11,-4.94648502124155,-2.70208581127175,97.1649458108603,6.44983085245858,ZNF728
ENSG00000151090.16,22509,-1.63748164270963,4.44992899266288e-11,-2.12462120978395,-1.1503420756353,99.0632071933055,1.34923085711828,THRB
ENSG00000123358.18,24475,-1.7576862581311,5.38704752271373e-11,-2.28285286783676,-1.23251964842545,95.0522646685059,1.46302077519152,NR4A1
ENSG00000131381.11,2345,-0.407558329508523,5.87276992630202e-11,-0.529569463184784,-0.285547195832261,95.5937632097461,0.0755676763952143,RBSN
ENSG00000162772.15,27228,-1.34159264234805,5.95469932603827e-11,-1.74335357745303,-0.939831707243069,92.5660441374307,0.832562059224573,ATF3
ENSG00000185630.17,881,-1.04915482372657,1.34064166206408e-10,-1.36932754034709,-0.728982107106051,97.6182726669475,0.539599666440671,PBX1
ENSG00000214652.5,25340,-2.94226479368069,2.02045315533679e-10,-3.84901544906245,-2.03551413829893,97.9129963434822,4.25679052341776,ZNF727
ENSG00000136826.13,1418,-1.41641131621848,2.04291702588108e-10,-1.85303925625502,-0.979783376181931,97.1585130450047,1.0399001741673,KLF4
ENSG00000168874.11,11364,-2.02366376228639,2.27506405291616e-10,-2.64911426958602,-1.39821325498676,98.8269149203288,2.24591205863202,ATOH8
ENSG00000082175.13,13710,-2.40933547985029,2.70271231888867e-10,-3.15711976161942,-1.66155119808117,98.5692396693402,3.21062615480765,PGR
ENSG00000153234.12,30059,-1.25309529347157,2.86886428552873e-10,-1.64258733982465,-0.863603247118488,91.5208132153239,0.725377327423429,NR4A2
ENSG00000109906.12,8376,-2.91176659640114,5.04287249325683e-10,-3.82961376586094,-1.99391942694134,98.6321713118117,4.75539195751489,ZBTB16
ENSG00000128573.21,28261,-2.33693019759246,5.35034543097626e-10,-3.07468042433542,-1.5991799708495,98.7153407521008,2.94293670927334,FOXP2
ENSG00000196263.6,6459,-1.30098579206385,6.42048714787519e-10,-1.71360555881171,-0.888366025315991,98.7584331242019,0.964344663051831,ZNF471
ENSG00000196109.6,25570,-3.12595358168648,9.04517562157566e-10,-4.12617378693551,-2.12573337643745,98.8042329909002,5.78154826725381,ZNF676
ENSG00000136936.9,3267,-0.392880821708073,9.25504635911308e-10,-0.518667022862634,-0.267094620553512,95.4310873199274,0.0816048406423884,XPA
ENSG00000139793.17,9260,-0.709364489356317,2.12501659899142e-09,-0.94155225411005,-0.477176724602584,97.7035636705257,0.287106413523361,MBNL2
ENSG00000116731.21,11407,-0.421380640249843,2.59524488933933e-09,-0.560061261087138,-0.282700019412548,96.2743833004379,0.102968324888269,PRDM2
ENSG00000154655.13,3327,-0.968119599519887,4.96943302199625e-09,-1.29257532694888,-0.643663872090896,97.6835435256522,0.560317799150572,L3MBTL4
ENSG00000163884.3,22987,-1.77617488588541,5.08087315851478e-09,-2.37181829151023,-1.1805314802606,98.1016227003894,1.9271704022851,KLF15
ENSG00000130700.6,12348,-3.82434144737243,6.41568508530258e-09,-5.11544695069061,-2.53323594405426,98.3223369217032,9.19084959463307,GATA5
ENSG00000182983.13,1359,-1.07764287466545,6.41858388834493e-09,-1.44146205851283,-0.713823690818077,97.5892436270498,0.7356566121216,ZNF662
ENSG00000197360.8,25776,-2.63924875263572,7.07041924336871e-09,-3.53277354892768,-1.74572395634376,97.4852551483172,4.0692371505763,ZNF98
